ID,associatedWithOccupation,contactDetails,description,endDate,function,name,sourceRecordLink,startDate,type,url,warning,workCount
Q14594632,,,a twin sister musical duo hailing from Australia and Sweden,,,Say Lou Lou,https://www.wikidata.org/wiki/Q14594632,1/1/2012,musical group,,,
Q7429893,,,former Australian band,,,Scandal'us,https://www.wikidata.org/wiki/Q7429893,1/1/2001,musical group,,,
Q7430373,,,Australian comedy music duo,,,Scared Weird Little Guys,https://www.wikidata.org/wiki/Q7430373,,musical group,,,
Q7430472,,,Australian music group,,,Scarlett Belle,https://www.wikidata.org/wiki/Q7430472,1/1/2007,musical group,,,
Q27947556,,,,,,Scary Mother,https://www.wikidata.org/wiki/Q27947556,1/1/1990,musical group,,,
Q22683095,,,progressive rock band,,,Scarymother,https://www.wikidata.org/wiki/Q22683095,,musical group,,,
Q7430609,,,Australian post punk band,,,Scattered Order,https://www.wikidata.org/wiki/Q7430609,1/1/1979,musical group,,,
Q7433119,,,,,,Schvendes,https://www.wikidata.org/wiki/Q7433119,1/1/2002,musical group,,,
Q27817962,,,,,,Scott & Charlene's Wedding,https://www.wikidata.org/wiki/Q27817962,1/1/2006,musical group,,,
Q27817858,,,,,,Scourged Flesh,https://www.wikidata.org/wiki/Q27817858,1/1/2006,musical group,,,
Q7438765,,,,,,Scrap Metal,https://www.wikidata.org/wiki/Q7438765,1/1/1983,musical group,,,
Q7438916,,,Australian indie guitar pop group,,,Screamfeeder,https://www.wikidata.org/wiki/Q7438916,,musical group,,,
Q30600933,,,,,,Scribble,https://www.wikidata.org/wiki/Q30600933,1/1/1983,musical group,,,
Q7439909,,,,,,Sea Haggs,https://www.wikidata.org/wiki/Q7439909,,musical group,,,
Q7439991,,,,,,Sea Scouts,https://www.wikidata.org/wiki/Q7439991,1/1/1994,musical group,,,
Q7440012,,,,,,Sea Stories,https://www.wikidata.org/wiki/Q7440012,,musical group,,,
Q6149661,,,,,,Sebastian Hardie,https://www.wikidata.org/wiki/Q6149661,1/1/1967,musical group,,,
Q7445785,,,,,,Seeker Lover Keeper,https://www.wikidata.org/wiki/Q7445785,1/1/2010,musical group,,,
Q7446329,,,,,,Segression,https://www.wikidata.org/wiki/Q7446329,1/1/1996,musical group,,,
Q7447192,,,,,,Sekiden,https://www.wikidata.org/wiki/Q7447192,,musical group,,,
Q7448290,,,,,,Self Righteous Brothers,https://www.wikidata.org/wiki/Q7448290,,musical group,,,
Q56294795,,,,,,Seminal Embalmment,https://www.wikidata.org/wiki/Q56294795,,musical group,,,
Q7449452,,,Australian punk/indie band,,,Seminal Rats,https://www.wikidata.org/wiki/Q7449452,,musical group,,,
Q7450207,,,Australian band,,,Sender,https://www.wikidata.org/wiki/Q7450207,1/1/1995,musical group,,,
Q7450998,,,,,,Sense of Purpose,https://www.wikidata.org/wiki/Q7450998,,musical group,,,
Q48720178,,,Australian Christian deathcore band,,,Separatist,https://www.wikidata.org/wiki/Q48720178,1/1/2003,musical group,,,
Q7457479,,,,,,Seven Stories,https://www.wikidata.org/wiki/Q7457479,1/1/1986,musical group,,,
Q2495158,,,,,,Severed Heads,https://www.wikidata.org/wiki/Q2495158,1/1/1979,musical group,,,
Q51030135,,,,,,Sewercide,https://www.wikidata.org/wiki/Q51030135,,musical group,,,
Q7459734,,,Celtic music band,,,Sforzando,https://www.wikidata.org/wiki/Q7459734,,musical group,,,
Q64684848,,,Australian neo-prog band. Debut release: Cornucopia (1998),,,Sh'mantra,https://www.wikidata.org/wiki/Q64684848,,musical group,,,
Q28225669,,,,,,Shackles,https://www.wikidata.org/wiki/Q28225669,,musical group,,,
Q13405397,,,Australian girl group,,,Shakaya,https://www.wikidata.org/wiki/Q13405397,1/1/2002,musical group,,,
Q17033197,,,,,,Shellfin,https://www.wikidata.org/wiki/Q17033197,,musical group,,,
Q16739933,,,Australian indie pop band,,,Sheppard,https://www.wikidata.org/wiki/Q16739933,1/1/2009,musical group,,,
Q7494713,,,Australian rock band,,,Sherbet,https://www.wikidata.org/wiki/Q7494713,1/1/1969,musical group,,,
Q65075084,,,Australian hard rock band,,,Shim,https://www.wikidata.org/wiki/Q65075084,,musical group,,,
Q7497619,,,,,,Shinjuku Thief,https://www.wikidata.org/wiki/Q7497619,,musical group,,,
Q15052715,,,,,,Shoreside,https://www.wikidata.org/wiki/Q15052715,1/1/2011,musical group,,,
Q585348,,,band,,,Short Stack,https://www.wikidata.org/wiki/Q585348,1/1/2005,musical group,,,
Q7503558,,,,,,Shreen,https://www.wikidata.org/wiki/Q7503558,1/1/1995,musical group,,,
Q1164628,,,Australian rock band,,,Shrek People,https://www.wikidata.org/wiki/Q1164628,1/1/1997,musical group,,,
Q7505677,,,,,,Shutterspeed,https://www.wikidata.org/wiki/Q7505677,,musical group,,,
Q17055122,,,,,,Sid Rumpo,https://www.wikidata.org/wiki/Q17055122,1/1/1970,musical group,,,
Q7508558,,,Australian indie pop group,,,Sidewinder,https://www.wikidata.org/wiki/Q7508558,1/1/1990,musical group,,,
Q15847538,,,,,,Sienna Skies,https://www.wikidata.org/wiki/Q15847538,,musical group,,,
Q51030148,,,,,,Signal the Firing Squad,https://www.wikidata.org/wiki/Q51030148,,musical group,,,
Q157327,,,Australian rock band,,,Silverchair,https://www.wikidata.org/wiki/Q157327,1/1/1992,musical group,,,
Q17034935,,,,,,Sirocco,https://www.wikidata.org/wiki/Q17034935,,musical group,,,
Q7531062,,,Australian music duo,,,Sister2Sister,https://www.wikidata.org/wiki/Q7531062,1/1/1999,musical group,,,
Q7532627,,,band,,,Six & Out,https://www.wikidata.org/wiki/Q7532627,,musical group,,,
Q7532746,,,,,,Six Ft Hick,https://www.wikidata.org/wiki/Q7532746,,musical group,,,
Q49576395,,,,,,Six Mile High,https://www.wikidata.org/wiki/Q49576395,,musical group,,,
Q7535811,,,,,,Skipping Girl Vinegar,https://www.wikidata.org/wiki/Q7535811,1/1/2004,musical group,,,
Q7536909,,,Australian rock band,,,Skulker,https://www.wikidata.org/wiki/Q7536909,1/1/1994,musical group,,,
Q7537048,,,Australian funk rock band,,,Skunkhour,https://www.wikidata.org/wiki/Q7537048,1/1/1991,musical group,,,
Q7537595,,,"Rock band from Melbourne, Australia",,,Skybombers,https://www.wikidata.org/wiki/Q7537595,,musical group,,,
Q7537759,,,Australian band,,,Skyhooks,https://www.wikidata.org/wiki/Q7537759,1/1/1973,musical group,,,
Q7537962,,,,,,Skypilot,https://www.wikidata.org/wiki/Q7537962,1/1/2010,musical group,,,
Q15847771,,,,,,Slaughter Lord,https://www.wikidata.org/wiki/Q15847771,,musical group,,,
Q7539073,,,Australian post-punk alternative southern group,,,Slaughtermen,https://www.wikidata.org/wiki/Q7539073,1/1/1984,musical group,,,
Q7539932,,,Australian post-rock band,,,sleepmakeswaves,https://www.wikidata.org/wiki/Q7539932,1/1/2006,musical group,,,
Q7539990,,,,,,Sleepy Township,https://www.wikidata.org/wiki/Q7539990,,musical group,,,
Q58010325,,,,,,Slow Turismo,https://www.wikidata.org/wiki/Q58010325,,musical group,,,
Q60652112,,,Australian electronic music duo,,,Slumberjack,https://www.wikidata.org/wiki/Q60652112,1/1/2014,musical group,,,
Q7542827,,,Australian alternative rock group,,,Small Mercies,https://www.wikidata.org/wiki/Q7542827,1/1/1997,musical group,,,
Q7546579,,,,,,Smudge,https://www.wikidata.org/wiki/Q7546579,1/1/1991,musical group,,,
Q7546953,,,,,,Snakadaktal,https://www.wikidata.org/wiki/Q7546953,1/1/2009,musical group,,,
Q56273299,,,band,,,Snakefoot,https://www.wikidata.org/wiki/Q56273299,1/1/1994,musical group,,,
Q1543521,,,Australian dance group,,,Sneaky Sound System,https://www.wikidata.org/wiki/Q1543521,1/1/2001,musical group,,,
Q7547541,,,band,,,Sneeze,https://www.wikidata.org/wiki/Q7547541,,musical group,,,
Q487586,,,band,,,Snog,https://www.wikidata.org/wiki/Q487586,,musical group,,,
Q7548118,,,Australian band active in the 1990s and early 2000s,,,Snout,https://www.wikidata.org/wiki/Q7548118,1/1/1991,musical group,,,
Q7548664,,,Australian indie rock band,,,Snowman,https://www.wikidata.org/wiki/Q7548664,1/1/2003,musical group,,,
Q472726,,,Australian folk rock duo,,,Sodastream,https://www.wikidata.org/wiki/Q472726,1/1/1997,musical group,,,
Q7553917,,,,,,Soft Sands,https://www.wikidata.org/wiki/Q7553917,,musical group,,,
